ID,Unlocalised name,Type,Min Level,Max Level,Class
0,enchantment.protect.all,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
1,enchantment.protect.fire,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
2,enchantment.protect.fall,armor_feet,1,4,net.minecraft.enchantment.EnchantmentProtection
3,enchantment.protect.explosion,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
4,enchantment.protect.projectile,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
5,enchantment.oxygen,armor_head,1,3,net.minecraft.enchantment.EnchantmentOxygen
6,enchantment.waterWorker,armor_head,1,1,net.minecraft.enchantment.EnchantmentWaterWorker
7,enchantment.thorns,armor_torso,1,3,net.minecraft.enchantment.EnchantmentThorns
8,null,null,null,null
9,null,null,null,null
10,null,null,null,null
11,null,null,null,null
12,null,null,null,null
13,null,null,null,null
14,null,null,null,null
15,null,null,null,null
16,enchantment.damage.all,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
17,enchantment.damage.undead,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
18,enchantment.damage.arthropods,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
19,enchantment.knockback,weapon,1,2,net.minecraft.enchantment.EnchantmentKnockback
20,enchantment.fire,weapon,1,2,net.minecraft.enchantment.EnchantmentFireAspect
21,enchantment.lootBonus,weapon,1,3,net.minecraft.enchantment.EnchantmentLootBonus
22,null,null,null,null
23,null,null,null,null
24,null,null,null,null
25,null,null,null,null
26,null,null,null,null
27,null,null,null,null
28,null,null,null,null
29,null,null,null,null
30,null,null,null,null
31,null,null,null,null
32,enchantment.digging,digger,1,5,net.minecraft.enchantment.EnchantmentDigging
33,enchantment.untouching,digger,1,1,net.minecraft.enchantment.EnchantmentUntouching
34,enchantment.durability,digger,1,3,net.minecraft.enchantment.EnchantmentDurability
35,enchantment.lootBonusDigger,digger,1,3,net.minecraft.enchantment.EnchantmentLootBonus
36,null,null,null,null
37,null,null,null,null
38,null,null,null,null
39,null,null,null,null
40,null,null,null,null
41,null,null,null,null
42,null,null,null,null
43,null,null,null,null
44,null,null,null,null
45,null,null,null,null
46,null,null,null,null
47,null,null,null,null
48,enchantment.arrowDamage,bow,1,5,net.minecraft.enchantment.EnchantmentArrowDamage
49,enchantment.arrowKnockback,bow,1,2,net.minecraft.enchantment.EnchantmentArrowKnockback
50,enchantment.arrowFire,bow,1,1,net.minecraft.enchantment.EnchantmentArrowFire
51,enchantment.arrowInfinite,bow,1,1,net.minecraft.enchantment.EnchantmentArrowInfinite
52,null,null,null,null
53,enchantment.blink,all,1,3,mariculture.magic.enchantments.EnchantmentBlink
54,enchantment.clock,all,1,1,mariculture.magic.enchantments.EnchantmentClock
55,enchantment.fall,all,1,4,mariculture.magic.enchantments.EnchantmentFallDamage
56,enchantment.fireResistance,all,1,3,mariculture.magic.enchantments.EnchantmentFire
57,enchantment.flight,all,1,3,mariculture.magic.enchantments.EnchantmentFlight
58,enchantment.glide,all,1,2,mariculture.magic.enchantments.EnchantmentGlide
59,enchantment.health,all,1,3,mariculture.magic.enchantments.EnchantmentHealth
60,enchantment.jump,all,1,4,mariculture.magic.enchantments.EnchantmentJump
61,enchantment.hungry,all,1,5,mariculture.magic.enchantments.EnchantmentNeverHungry
62,enchantment.oneRing,all,1,1,mariculture.magic.enchantments.EnchantmentOneRing
